Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1726151172,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151173,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151174,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151175,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151176,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151177,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151178,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151179,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151180,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726151181,10,,Aggregated,0.000000,0.000000,500,510,540,540,540,540,540,540,540,540,540,10,10,490.0,503.3789999783039,465.6295001041144,540.0027998257428,37.0
1726151183,20,,Aggregated,0.000000,0.000000,390,400,490,490,540,540,540,540,540,540,540,30,30,380.0,408.1392799814542,325.282400008291,540.0027998257428,37.0
1726151184,30,,Aggregated,0.000000,0.000000,390,430,440,470,510,540,550,550,550,550,550,50,50,390.0,406.22610399965197,314.11690008826554,549.6450001373887,37.0
1726151185,40,,Aggregated,10.000000,10.000000,380,400,430,430,490,540,540,550,550,550,550,80,80,380.0,389.65558499330655,314.11690008826554,549.6450001373887,37.0
1726151186,50,,Aggregated,15.000000,15.000000,350,400,430,430,470,510,540,540,550,550,550,120,120,350.0,379.184849994878,314.11690008826554,549.6450001373887,37.0
1726151187,60,,Aggregated,20.000000,20.000000,340,380,400,420,440,490,540,540,550,550,550,168,168,340.0,373.75678690122663,314.11690008826554,549.6450001373887,37.0
1726151188,70,,Aggregated,20.000000,20.000000,340,380,400,420,440,490,520,540,550,550,550,220,220,340.0,369.3844213669019,310.5967999435961,549.6450001373887,37.0
1726151189,80,,Aggregated,24.000000,24.000000,340,370,390,400,430,470,510,540,550,550,550,280,280,340.0,363.7210975035227,310.5967999435961,549.6450001373887,37.0
1726151190,90,,Aggregated,27.833333,27.833333,340,360,380,400,430,440,500,540,550,550,550,350,350,340.0,359.86230314243585,310.5967999435961,549.6450001373887,37.0
1726151191,100,,Aggregated,35.000000,35.000000,340,350,370,390,420,440,490,520,550,550,550,429,429,340.0,357.27526177163725,310.5967999435961,549.6450001373887,37.0
1726151192,110,,Aggregated,35.000000,35.000000,340,350,370,390,410,440,490,510,550,550,550,510,510,340.0,354.8117576468298,310.5967999435961,549.6450001373887,37.0
1726151193,120,,Aggregated,38.888889,38.888889,340,350,360,380,410,440,480,510,550,550,550,599,599,340.0,353.60134974781283,310.5967999435961,549.6450001373887,37.0
1726151194,130,,Aggregated,50.000000,50.000000,340,340,360,370,410,430,470,500,550,550,550,700,700,340.0,351.7893272854521,310.5967999435961,549.6450001373887,37.0
1726151195,140,,Aggregated,56.900000,56.900000,340,340,350,370,400,430,440,490,550,550,550,809,809,340.0,349.9200749078625,310.5967999435961,549.6450001373887,37.0
1726151196,150,,Aggregated,56.900000,56.900000,340,340,350,370,400,430,440,490,550,550,550,920,920,340.0,349.6279769577086,310.51799980923533,549.6450001373887,37.0
1726151197,160,,Aggregated,72.700000,72.700000,340,340,360,370,400,420,440,490,540,550,550,1039,1039,340.0,349.2970828677745,310.51799980923533,549.6450001373887,37.0
1726151198,170,,Aggregated,80.000000,80.000000,340,340,350,360,400,420,440,490,540,550,550,1170,1170,340.0,348.6537129057046,310.51799980923533,549.6450001373887,37.0
1726151199,180,,Aggregated,87.100000,87.100000,340,340,350,360,400,420,450,480,540,550,550,1308,1308,340.0,348.60626590279406,309.6577001269907,549.6450001373887,37.0
1726151200,190,,Aggregated,94.600000,94.600000,340,340,350,360,400,420,450,470,540,550,550,1449,1449,340.0,348.4298281589802,309.6577001269907,549.6450001373887,37.0
1726151201,200,,Aggregated,102.600000,102.600000,340,340,350,360,400,420,450,480,550,640,640,1600,1600,340.0,347.7878506266279,309.6577001269907,642.8303001448512,37.0
1726151202,210,,Aggregated,109.400000,109.400000,340,340,350,360,390,420,440,470,550,640,640,1759,1759,340.0,347.5168820360973,309.16630011051893,642.8303001448512,37.0
1726151203,220,,Aggregated,115.700000,115.700000,340,340,350,360,390,420,440,470,550,640,640,1928,1928,340.0,347.10786862144755,309.16630011051893,642.8303001448512,37.0
1726151204,230,,Aggregated,123.400000,123.400000,340,340,350,360,390,420,440,470,540,640,640,2099,2099,340.0,347.3702771332924,309.16630011051893,642.8303001448512,37.0
1726151205,240,,Aggregated,131.900000,131.900000,340,340,350,360,390,420,440,460,540,640,640,2279,2279,340.0,346.8916713051292,309.16630011051893,642.8303001448512,37.0
1726151206,250,,Aggregated,136.400000,136.400000,340,340,350,360,390,420,440,460,550,780,780,2468,2468,340.0,346.2585962333715,309.16630011051893,783.5601000115275,37.0
1726151207,260,,Aggregated,143.200000,143.200000,340,340,350,360,380,410,440,460,550,780,780,2669,2669,340.0,346.242035182738,309.16630011051893,783.5601000115275,37.0
1726151208,270,,Aggregated,151.500000,151.500000,340,340,350,360,380,410,440,460,550,780,780,2867,2867,340.0,346.6407963038849,309.16630011051893,783.5601000115275,37.0
1726151209,280,,Aggregated,157.800000,157.800000,340,340,350,360,380,410,440,450,540,780,780,3079,3079,340.0,346.43093290151654,309.16630011051893,783.5601000115275,37.0
1726151210,290,,Aggregated,166.700000,166.700000,340,340,350,360,380,410,440,450,540,780,780,3295,3295,340.0,346.24821220076615,309.16630011051893,783.5601000115275,37.0
1726151211,300,,Aggregated,171.500000,171.500000,340,350,350,360,380,410,430,450,540,780,780,3526,3526,340.0,346.3097783041298,309.16630011051893,783.5601000115275,37.0
1726151212,300,,Aggregated,180.000000,180.000000,340,350,350,360,380,410,430,450,540,780,780,3747,3747,340.0,346.05308825660654,309.16630011051893,783.5601000115275,37.0
1726151213,300,,Aggregated,187.500000,187.500000,340,350,350,360,380,410,430,450,540,780,780,3941,3941,340.0,345.8863914232565,309.16630011051893,783.5601000115275,37.0
1726151214,300,,Aggregated,194.900000,194.900000,340,340,350,360,370,400,430,450,540,780,780,4195,4195,340.0,345.25784026138723,309.16630011051893,783.5601000115275,37.0
1726151215,300,,Aggregated,199.200000,199.200000,340,340,350,360,370,400,430,450,540,780,780,4410,4410,340.0,344.8053954867646,309.16630011051893,783.5601000115275,37.0
1726151216,300,,Aggregated,207.500000,207.500000,340,340,350,360,370,400,430,440,540,780,780,4647,4647,340.0,344.91061510592147,309.16630011051893,783.5601000115275,37.0
1726151217,300,,Aggregated,212.200000,212.200000,340,340,350,360,370,400,430,440,540,780,780,4831,4831,340.0,344.59066530675136,309.16630011051893,783.5601000115275,37.0
1726151218,300,,Aggregated,215.400000,215.400000,340,340,350,350,370,400,430,440,540,780,780,5081,5081,340.0,344.3116032075055,309.16630011051893,783.5601000115275,37.0
1726151219,300,,Aggregated,218.900000,218.900000,340,340,350,350,370,390,430,440,540,780,780,5291,5291,340.0,344.1454853137849,309.16630011051893,783.5601000115275,37.0
1726151220,300,,Aggregated,220.300000,220.300000,340,340,350,350,370,390,420,440,540,780,780,5517,5517,340.0,343.9147855709794,308.8616000022739,783.5601000115275,37.0
1726151221,300,,Aggregated,223.600000,223.600000,340,340,350,350,370,390,420,440,540,780,780,5729,5729,340.0,343.6969276304266,308.8616000022739,783.5601000115275,37.0
1726151222,300,,Aggregated,223.200000,223.200000,340,340,350,350,370,390,420,440,540,780,780,5989,5989,340.0,343.6850618288334,302.6421000249684,783.5601000115275,37.0
1726151223,300,,Aggregated,224.400000,224.400000,340,340,350,350,370,390,420,440,540,780,780,6187,6187,340.0,343.53066503869,302.6421000249684,783.5601000115275,37.0
1726151224,300,,Aggregated,223.900000,223.900000,340,340,350,350,370,390,420,440,540,780,780,6421,6421,340.0,343.6606333429611,302.6421000249684,783.5601000115275,37.0
1726151225,300,,Aggregated,224.600000,224.600000,340,340,350,350,370,390,420,440,540,780,780,6628,6628,340.0,343.44274785646303,302.6421000249684,783.5601000115275,37.0
1726151226,300,,Aggregated,224.000000,224.000000,340,340,350,350,370,390,420,440,540,780,780,6881,6881,340.0,343.43046448080474,302.6421000249684,783.5601000115275,37.0
1726151227,300,,Aggregated,224.000000,224.000000,340,340,350,350,370,390,420,440,540,780,780,7086,7086,340.0,343.20570145269835,302.6421000249684,783.5601000115275,37.0
1726151228,300,,Aggregated,223.200000,223.200000,340,340,350,350,370,380,420,440,540,780,780,7315,7315,340.0,342.8581061237635,302.6421000249684,783.5601000115275,37.0
1726151229,300,,Aggregated,224.700000,224.700000,340,340,350,350,370,380,420,430,540,780,780,7529,7529,340.0,342.62331103695624,302.6421000249684,783.5601000115275,37.0
1726151230,300,,Aggregated,222.200000,222.200000,340,340,350,350,370,380,420,430,540,780,780,7791,7791,340.0,342.6390724808782,302.6421000249684,783.5601000115275,37.0
1726151231,300,,Aggregated,224.300000,224.300000,340,340,350,350,370,380,420,430,540,780,780,7982,7982,340.0,342.5152271230402,302.6421000249684,783.5601000115275,37.0
1726151232,300,,Aggregated,224.000000,224.000000,340,340,350,350,370,380,410,430,540,780,780,8213,8213,340.0,342.4315250697653,302.6421000249684,783.5601000115275,37.0
1726151233,300,,Aggregated,224.800000,224.800000,340,340,350,350,370,380,410,430,540,780,780,8429,8429,340.0,342.23384400251257,302.6421000249684,783.5601000115275,37.0
1726151234,300,,Aggregated,219.800000,219.800000,340,340,350,350,360,380,410,430,540,780,780,8677,8677,340.0,341.99021603026944,302.6421000249684,783.5601000115275,37.0
1726151235,300,,Aggregated,224.200000,224.200000,340,340,350,350,360,380,410,430,540,780,780,8884,8884,340.0,341.9379253706839,302.6421000249684,783.5601000115275,37.0
1726151236,300,,Aggregated,223.000000,223.000000,340,340,350,350,360,380,410,430,540,780,780,9112,9112,340.0,341.7246368299682,302.6421000249684,783.5601000115275,37.0
1726151237,300,,Aggregated,221.900000,221.900000,340,340,350,350,360,380,410,430,540,1400,1400,9328,9328,340.0,341.6519990773889,302.6421000249684,1368.9627000130713,37.05027873070326
1726151238,300,,Aggregated,221.500000,221.500000,340,340,350,350,360,380,410,430,540,1400,1400,9557,9557,340.0,341.5175917122238,302.6421000249684,1368.9627000130713,37.049073977189494
1726151239,300,,Aggregated,224.400000,224.400000,340,340,350,350,360,380,410,430,540,1400,1400,9792,9792,340.0,341.4370492948151,302.6421000249684,1368.9627000130713,37.04789624183007
1726151240,300,,Aggregated,224.100000,224.100000,340,340,350,350,360,380,410,430,540,780,1400,10010,10010,340.0,341.4448048345852,302.6421000249684,1368.9627000130713,37.046853146853145
1726151241,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
