Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,5065,5065,340.0,340.75805271436946,308.9858000166714,783.5601000115275,37.0,84.27438073989966,84.27438073989966,340,340,350,350,360,370,400,420,540,780,780
POST,/api/register,5136,5136,340.0,341.9614778620349,302.6421000249684,1368.9627000130713,37.09131619937695,85.45571954197919,85.45571954197919,340,340,350,350,360,380,410,430,520,1400,1400
,Aggregated,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719,169.73010028187883,169.73010028187883,340,340,350,350,360,380,410,430,540,780,1400
